direction,time,plate,make,model,color
North,2020-05-20T10:00:33Z,DZR-4059,Mercedes,S-Series,Black
North,2020-05-20T10:01:13Z,GRG-4300,Nissan,Altima,Grey
North,2020-05-20T10:03:47Z,QZS-2886,Mazda,6,White
North,2020-05-20T10:04:54Z,OHK-3972,BMW,i1,White
North,2020-05-20T10:10:41Z,EAS-1671,Ford,F-250,Silver
North,2020-05-20T10:13:53Z,OKP-7589,Dodge,Journey,White
North,2020-05-20T10:13:55Z,HNN-1298,Volkswagen,Passat,Grey
North,2020-05-20T10:15:59Z,EWL-6179,Toyota,Venza,Grey
North,2020-05-20T10:16:01Z,YVH-4374,GMC,Safari,White
North,2020-05-20T10:18:16Z,DLU-6055,Nissan,Titan,Blue
North,2020-05-20T10:19:04Z,MOU-5688,Honda,Odyssey,Grey
North,2020-05-20T10:20:26Z,BNB-2918,Porsche,Panamera,Black
North,2020-05-20T10:21:33Z,FSW-2488,Honda,Accord,Grey
North,2020-05-20T10:24:22Z,YDI-8056,Tesla,Model T,White
North,2020-05-20T10:25:26Z,GVO-2227,Chevy,Cavalier,Silver
North,2020-05-20T10:26:59Z,MAP-4787,Hyundai,Sonata,Black
North,2020-05-20T10:29:05Z,RSV-4227,Honda,Ridgeline,Black
North,2020-05-20T10:29:30Z,APW-4002,Honda,Ridgeline,Black
North,2020-05-20T10:29:51Z,AYY-5931,Ford,Edge,Silver
North,2020-05-20T10:29:56Z,PQT-4942,Ford,Ranger,Black
North,2020-05-20T10:30:29Z,UOH-6199,Mercedes,GLK-Class,Black
North,2020-05-20T10:30:50Z,HUZ-7263,Nissan,Pathfinder,White
North,2020-05-20T10:31:39Z,NOZ-0278,Infiniti,QX60,Grey
North,2020-05-20T10:32:23Z,RFO-6315,Ford,E-250,White
North,2020-05-20T10:33:10Z,FRP-7236,Subaru,Legacy,White
North,2020-05-20T10:33:16Z,IZL-9742,Ford,Explorer,Black
North,2020-05-20T10:34:49Z,EWS-5836,Honda,Civic,Silver
North,2020-05-20T10:35:38Z,AUI-8339,Mazda,3,Grey
North,2020-05-20T10:36:22Z,HYN-8956,Kia,Stinger,Red
North,2020-05-20T10:37:33Z,OWA-2672,Tesla,Model S,Silver
North,2020-05-20T10:39:34Z,PFJ-9074,Mazda,3,Grey
North,2020-05-20T10:40:16Z,WIQ-6552,Ford,F-450,White
North,2020-05-20T10:40:34Z,SYQ-7668,Infiniti,G37,White
North,2020-05-20T10:40:50Z,UFF-8499,Kia,Optima,Grey
North,2020-05-20T10:44:41Z,HKR-6561,Kia,Spectra,Silver
North,2020-05-20T10:45:09Z,CYG-0816,BMW,X1,Black
North,2020-05-20T10:45:27Z,COM-6203,Ford,Mustang,Red
North,2020-05-20T10:46:11Z,ODW-7630,Mazda,CX-3,Black
North,2020-05-20T10:46:58Z,SXC-6911,Volvo,XC60,Silver
North,2020-05-20T10:48:01Z,WGM-0186,Tesla,Model T,White
North,2020-05-20T10:48:58Z,UDV-2023,Ford,F-250,Blue
North,2020-05-20T10:49:01Z,UZS-1462,Chevy,Impala,Red
North,2020-05-20T10:49:19Z,SKT-4444,Buick,Enclave,Beige
North,2020-05-20T10:50:12Z,AFC-8042,Toyota,Tacoma,Silver
North,2020-05-20T10:50:59Z,DLX-7338,GMC,Terrain,Silver
North,2020-05-20T10:51:19Z,HFU-5023,Mazda,3,White
North,2020-05-20T10:51:39Z,WRU-2020,Ford,F-150,Black
North,2020-05-20T10:52:17Z,YRZ-8429,Dodge,Durango,Black
North,2020-05-20T10:53:05Z,STO-1788,Honda,Civic,Black
North,2020-05-20T10:53:50Z,KWM-7530,Dodge,Ram,Silver
North,2020-05-20T10:54:05Z,OYZ-2783,Tesla,Model T,White
North,2020-05-20T10:54:15Z,NJT-5671,Infiniti,Q50,Black
North,2020-05-20T10:54:30Z,BTE-8441,Nissan,Kicks,Silver
North,2020-05-20T10:54:35Z,UVF-0487,Jeep,Patriot,Silver
North,2020-05-20T10:55:23Z,RGZ-3305,Nissan,Armada,White
North,2020-05-20T10:55:39Z,WHH-7407,Honda,Ridgeline,Black
North,2020-05-20T10:56:35Z,QYY-2763,Mazda,5,Grey
North,2020-05-20T10:57:11Z,DHR-5100,GMC,Safari,White
North,2020-05-20T10:57:44Z,RXT-7346,Mazda,3,Grey
North,2020-05-20T10:58:54Z,ADY-5363,Nissan,Armada,White
North,2020-05-20T10:59:27Z,IBF-2207,Nissan,Versa,Blue
North,2020-05-20T10:59:45Z,EGU-9424,Chevy,Traverse,White
North,2020-05-20T10:59:49Z,NEB-7774,Nissan,Murano,Black
North,2020-05-20T11:00:34Z,ITV-7959,Dodge,Dart,Silver
North,2020-05-20T11:00:37Z,XIL-1066,Ford,Escape,White
North,2020-05-20T11:01:44Z,WXR-0833,Honda,Pilot,Red
North,2020-05-20T11:03:16Z,FMP-6076,Acura,RDX,Black
North,2020-05-20T11:03:44Z,JXL-9755,Jeep,Cherokee,White
North,2020-05-20T11:03:55Z,XFK-9624,Toyota,Prius,Black
North,2020-05-20T11:03:56Z,FEV-4339,Mercedes,E-Class,Black
North,2020-05-20T11:03:58Z,CSH-5330,Mitsubishi,Lancer,Silver
North,2020-05-20T11:04:49Z,ADF-8568,Ford,F-150,Black
North,2020-05-20T11:05:22Z,YFU-3048,Chevy,Express,White
North,2020-05-20T11:05:29Z,YVQ-0307,Toyota,Rav-4,Red
North,2020-05-20T11:05:36Z,CNF-6373,Kia,Spectra,Black
North,2020-05-20T11:05:54Z,HFN-0783,Nissan,Armada,White
North,2020-05-20T11:07:13Z,FJV-0385,Volvo,VNL 670,Blue
North,2020-05-20T11:07:20Z,PHN-6938,Saab,93,Black
North,2020-05-20T11:08:29Z,STO-3266,Ford,Traverse,Black
North,2020-05-20T11:08:57Z,XTG-7892,Toyota,Prius,White
North,2020-05-20T11:09:22Z,SLW-6280,Chevy,Malibu,Silver
North,2020-05-20T11:10:03Z,NHB-9917,GMC,Yukon,Black
North,2020-05-20T11:10:25Z,VOL-9724,Jeep,Renegade,Silver
North,2020-05-20T11:11:02Z,FLE-7612,Kia,Spectra,White
North,2020-05-20T11:11:14Z,JRZ-8890,Kia,Rio,Silver
North,2020-05-20T11:12:04Z,EOH-3841,Ford,F-250,Blue
North,2020-05-20T11:12:21Z,DVJ-5278,Jeep,Grand Cherokee,White
North,2020-05-20T11:12:49Z,HLY-3640,Hyundai,Genesis,Black
North,2020-05-20T11:12:52Z,LML-0384,Acura,TL,Grey
North,2020-05-20T11:12:55Z,QSV-3584,Mazda,CX-5,Red
North,2020-05-20T11:13:13Z,BSQ-2465,Dodge,Ram,Silver
North,2020-05-20T11:14:15Z,IVS-5571,Cadillac,SRX,White
North,2020-05-20T11:14:40Z,DGO-9440,Nissan,Maxima,Beige
North,2020-05-20T11:14:42Z,GJO-8073,Nissan,Kicks,White
North,2020-05-20T11:14:52Z,XEF-2035,Toyota,Corolla,Grey
North,2020-05-20T11:15:02Z,ITX-1094,GMC,Yukon,Black
North,2020-05-20T11:15:59Z,ERG-3295,Porsche,Cayman,Black
North,2020-05-20T11:16:10Z,QHD-6558,Buick,Verano,Grey
North,2020-05-20T11:16:36Z,SFN-9039,BMW,i1,White
North,2020-05-20T11:16:57Z,INR-7989,Mazda,6,Black
North,2020-05-20T11:18:15Z,XEF-3887,Mercedes,E-Series,White
North,2020-05-20T11:19:04Z,MPL-7401,Nissan,Kicks,Silver
North,2020-05-20T11:19:41Z,WFH-9610,Ford,Fusion,Grey
North,2020-05-20T11:19:47Z,CSS-9510,Chevy,Cavalier,Silver
North,2020-05-20T11:20:29Z,SKU-4581,Volkswagen,Tiguan,Black
North,2020-05-20T11:21:49Z,EZI-5155,Nissan,Rogue,Grey
North,2020-05-20T11:22:26Z,XHJ-8289,Nissan,370Z,Black
North,2020-05-20T11:22:28Z,ZJY-6812,Ford,Focus,Blue
North,2020-05-20T11:23:23Z,IGA-8251,Subaru,BRZ,Silver
North,2020-05-20T11:23:27Z,MUS-5791,Chrysler,300,White
North,2020-05-20T11:23:45Z,NDV-7895,Ford,F-250,Black
North,2020-05-20T11:24:20Z,LTT-8299,Ford,Expedition,Silver
North,2020-05-20T11:24:25Z,LXL-4253,Kia,Forte,Silver
North,2020-05-20T11:24:30Z,MIS-4756,Ford,Edge,Black
North,2020-05-20T11:25:14Z,FYT-0077,Mercedes,C-Series,Black
North,2020-05-20T11:25:23Z,XUI-0674,Chevy,Cruze,Silver
North,2020-05-20T11:25:36Z,LJV-1470,Jeep,Gladiator,Green
North,2020-05-20T11:25:58Z,VPG-2235,Tesla,Model 3,Grey
North,2020-05-20T11:26:55Z,COM-3988,Nissan,Altima,Red
North,2020-05-20T11:27:03Z,XEV-5159,Mitsubishi,Outlander,Beige
North,2020-05-20T11:27:14Z,LZT-4257,Dodge,Grand Caravan,White
North,2020-05-20T11:28:10Z,BUC-0614,Hyundai,Santa Fe,Silver
North,2020-05-20T11:28:26Z,BZZ-1175,GMC,Canyon,Silver
North,2020-05-20T11:28:58Z,ULH-3598,Lexus,GX,Grey
North,2020-05-20T11:29:04Z,TGJ-2347,Lexus,RX,Grey
North,2020-05-20T11:29:30Z,JGX-6952,Acura,RSX,Black
North,2020-05-20T11:29:38Z,OJA-4356,Nissan,Armada,White
North,2020-05-20T11:29:39Z,WRN-2847,Nissan,Xterra,Black
North,2020-05-20T11:29:53Z,QHH-9694,Chrysler,300,White
North,2020-05-20T11:30:02Z,QPJ-0879,Kia,Sedona,Black
North,2020-05-20T11:30:06Z,HZU-7286,Mercedes,CLA-Class,Red
North,2020-05-20T11:30:12Z,MWJ-6851,Mercedes,GLC-Class,White
North,2020-05-20T11:30:13Z,HMS-8248,Mercedes,S-Series,Black
North,2020-05-20T11:30:33Z,HWI-2742,Chrysler,Town & Country,Orange
North,2020-05-20T11:31:12Z,JQY-8494,Volkswagen,Passat,White
North,2020-05-20T11:31:47Z,ADP-1233,Mazda,3,Grey
North,2020-05-20T11:31:54Z,AGO-3835,Subaru,Outback,Grey
North,2020-05-20T11:32:01Z,JSL-5132,Volkswagen,Tiguan,Black
North,2020-05-20T11:32:09Z,OAQ-6298,Alfa Romeo,Giulia,Red
North,2020-05-20T11:32:11Z,IWX-6790,Mazda,3,Grey
North,2020-05-20T11:32:33Z,MIX-0448,Ford,Fiesta,White
North,2020-05-20T11:32:35Z,LUU-6245,Lexus,SC,White
North,2020-05-20T11:32:36Z,JGY-9575,Lexus,RX,Blue
North,2020-05-20T11:32:39Z,CPZ-1369,Jeep,Renegade,Silver
North,2020-05-20T11:32:47Z,BIP-4794,Chevy,Traverse,Silver
North,2020-05-20T11:33:31Z,YSN-8576,Land Rover,Discovery,Grey
North,2020-05-20T11:33:36Z,NEQ-7058,Nissan,Kicks,White
North,2020-05-20T11:33:44Z,XGF-5915,Nissan,Altima,Beige
North,2020-05-20T11:34:00Z,VVS-6571,Honda,Civic,Silver
North,2020-05-20T11:34:18Z,CDN-8330,Toyota,Camry,White
North,2020-05-20T11:34:22Z,AHP-5718,Toyota,Corolla,Red
North,2020-05-20T11:34:25Z,LPK-5879,Mitsubishi,Outlander,Beige
North,2020-05-20T11:34:27Z,NQY-8298,Nissan,Armada,White
North,2020-05-20T11:34:34Z,QIR-0205,Mitsubishi,Mirage,Silver
North,2020-05-20T11:34:43Z,GAZ-2972,Honda,CR-V,Red
North,2020-05-20T11:34:58Z,UJP-0398,Chevy,Malibu,Silver
North,2020-05-20T11:35:16Z,HYE-2902,Honda,Accord,Grey
North,2020-05-20T11:35:18Z,HAP-7426,Mitsubishi,Lancer,Silver
North,2020-05-20T11:35:24Z,YSE-7860,Lexus,SC,White
North,2020-05-20T11:35:37Z,LIU-3278,Tesla,Model T,White
North,2020-05-20T11:35:39Z,UHJ-7863,Toyota,Venza,Grey
North,2020-05-20T11:35:43Z,PBW-1578,Ford,F-450,White
North,2020-05-20T11:35:50Z,DGP-9763,Jaguar,F-Pace,Grey
North,2020-05-20T11:35:57Z,ENY-0751,Hyundai,Tucson,Grey
North,2020-05-20T11:37:05Z,IRQ-3259,Mercedes,GLC-Class,Black
North,2020-05-20T11:37:12Z,RMW-0426,Ford,F-450,White
North,2020-05-20T11:37:38Z,YBL-2655,Volkswagen,Passat,Grey
North,2020-05-20T11:37:45Z,WFJ-9253,Volkswagen,Jetta,White
North,2020-05-20T11:38:05Z,FHV-2160,Porsche,Macon,Black
North,2020-05-20T11:38:13Z,CDG-8893,Subaru,Legacy,White
North,2020-05-20T11:38:35Z,RIA-2411,Land Rover,LR4,Grey
North,2020-05-20T11:38:51Z,KLW-1634,Chevy,Corvette,Red
North,2020-05-20T11:39:29Z,MHA-9053,Ford,F-450,White
North,2020-05-20T11:39:38Z,XAR-1900,Mazda,Tribute,Beige
North,2020-05-20T11:39:40Z,DCR-8480,Kia,Optima,Grey
North,2020-05-20T11:39:44Z,QZJ-8015,Porsche,Macon,Black
North,2020-05-20T11:39:54Z,QHW-5854,Ford,F-450,White
North,2020-05-20T11:39:59Z,STD-2837,Saab,93,Black
